fg/saaze-core		public, fork	2023-03-19T22:3;3:55Z
fg/workerman	An asynchronous event driven P;HP socket framework. Supports HTTP, Websocket, SSL and other custom protocols. PHP>=7.0.	public, fork	2022-;09-22T13:02:03Z
fg/mimey	PHP package for converting file ex;tensions to MIME types and vice versa.	public, fork	2022-09-06T20:28:35Z
fg/RiseOfKingdoms		public, fork	2022-04-20T;13:15:55Z
fg/laravel-activitylog	Log activity inside;your Laravel app	public, fork	2021-12-29T18:19:20Z
fg/tr-nat-id-num-validator	Validation of Tu;rkish Identification Number (TC Kimlik Numarası Kontrolü ve Doğrulaması)	public, fork	2021-12-07T08:55:;36Z
fg/temporary-access	Abandoned. Use erdemker;en/laravel-otp instead.	public, fork	2021-11-25T11:15:29Z
fg/laravel-excel	🚀 Supercharged Excel ex;ports and imports in Laravel	public, fork	2021-07-28T07:50:16Z
fg/saaze	An all-inclusive, flat-file CMS fo;r simple websites and blogs.	public, fork	2020-11-23T17:10:28Z
fg/sequelpro	MySQL/MariaDB database managem;ent for macOS	public, fork	2019-12-20T20:18:56Z
fg/laravel-react	Laravel 5.8 and React 16.8;boilerplate	public, fork	2019-08-07T14:25:38Z
fg/PHPExcel	ARCHIVED	public, fork	2019-05-2;7T15:17:06Z
fg/LootTable.json	Full edited loot table	pu;blic, fork	2019-02-15T15:45:10Z
fg/pdox	useful query builder class that wor;ks with PHP PDO class for simple access your data.	public, fork	2019-01-09T20:24:03Z
fg/laracom	Laravel FREE E-Commerce Software;	public, fork	2018-04-12T14:01:22Z
fg/YiiCMS		public	2018-01-23T12:26:41Z
fg/payuclient	Payment client for Payu Turke;y.	public, fork	2017-08-20T20:10:47Z
fg/BuyukGoc.github.io		public, fork	2016-12;-07T22:28:24Z
fg/yii2-core	Yii2 Core project template	pub;lic, fork	2016-06-24T10:17:24Z
fg/yii2-bootstrap-AdminLTE	The Bootstrap te;mplate AdminLTE widgets for yii2 framework.	public, fork	2016-06-19T19:12:58Z
fg/nvi	NVI T.C. Kimlik No Doğrulama Servis;i	public, fork	2016-06-08T14:09:17Z
fg/yii2-file-processor	Upload and process f;iles and images for YII2	public, fork	2016-05-20T12:03:02Z
fg/magento2-1	t-appz - Mobile Commerce&Shop;ping App for Magento 2	public, fork	2016-04-19T13:59:55Z
fg/faruk-sengun-kinama	Cinsiyetçi ve iş a;hlakına aykırı konuşmalarından ötürü, Argede Bilişim sahibi Faruk Şengün için kınama mektubu y;azıyoruz.	public,;fork	2016-04-16T15:3
fg/active_record.cr	Active Record pattern i;mplementation for Crystal.	public, fork	2016-03-16T17:38:12Z
fg/gravatar.cr		public	2016-03-14T17:18:22Z
fg/spotify.cr	A Crystal wrapper for the Spo;tify API	public, fork	2016-03-13T01:39:57Z
